Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
19,No,Travel_Rarely,235,Sales,21,1,Life Sciences,1,366,4,Male,32,1,5,Manufacturing Director,3.0,Married,8476.0,24622,7,Y,No,15,3,4,80,1,21,6,2,17,9,15,17
49,No,Travel_Rarely,1150,Research & Development,13,5,Medical,1,367,1,Female,98,1,4,Manager,1.0,Divorced,19549.0,3838,6,Y,No,21,4,1,80,1,22,5,2,38,0,11,9
40,No,Travel_Rarely,604,Sales,27,5,Life Sciences,1,368,1,Female,37,4,5,Research Scientist,3.0,Married,9493.0,13269,6,Y,No,18,3,3,80,3,10,2,1,34,0,11,16
39,No,Travel_Rarely,1310,Research & Development,18,3,Life Sciences,1,369,4,Male,43,2,2,Sales Representative,,Married,12851.0,12644,0,Y,Yes,21,4,3,80,3,15,1,1,14,3,2,0
42,Yes,Travel_Rarely,1210,Research & Development,5,4,Medical,1,370,3,Female,32,2,3,Healthcare Representative,2.0,Married,5932.0,11517,4,Y,No,15,3,2,80,0,15,1,4,38,16,9,7
39,No,Travel_Rarely,245,Sales,6,4,Human Resources,1,371,3,Male,53,3,4,Manager,2.0,Married,10260.0,3271,6,Y,No,21,3,1,80,3,13,6,4,39,4,3,11
39,No,Travel_Rarely,325,Research & Development,17,3,Other,1,372,3,Male,42,4,1,Manager,2.0,Divorced,16929.0,2855,1,Y,Yes,20,3,4,80,2,5,3,1,38,13,4,13
59,No,Travel_Frequently,321,Sales,11,4,Life Sciences,1,373,3,Female,72,1,5,Manager,3.0,Single,11504.0,6872,5,Y,No,23,4,1,80,1,16,1,2,2,5,14,16
23,No,Travel_Rarely,280,Research & Development,20,3,Life Sciences,1,374,2,Male,58,3,2,Research Director,4.0,Single,14328.0,8552,1,Y,No,16,3,4,80,0,30,0,1,18,6,2,15
32,No,Travel_Rarely,534,Research & Development,16,1,Life Sciences,1,375,4,Female,80,3,2,Manufacturing Director,2.0,Single,10402.0,24101,2,Y,No,15,3,1,80,2,9,2,2,22,7,8,4
60,No,Travel_Rarely,366,Research & Development,9,5,Medical,1,376,1,Male,71,2,3,Research Director,3.0,Single,7909.0,23192,0,Y,No,12,3,3,80,1,19,4,2,18,17,4,3
54,No,Travel_Rarely,1055,Research & Development,2,5,Medical,1,377,4,Female,60,1,2,Human Resources,1.0,Single,3169.0,22204,2,Y,No,20,4,4,80,2,8,1,3,17,3,6,4
50,No,Travel_Rarely,530,Research & Development,5,4,Marketing,1,378,3,Male,92,1,5,Manufacturing Director,2.0,Single,17245.0,11829,6,Y,Yes,20,3,2,80,3,14,5,3,29,2,14,4
25,No,Travel_Rarely,517,Research & Development,1,2,Life Sciences,1,379,1,Male,55,4,5,Sales Executive,1.0,Married,7230.0,20411,4,Y,No,16,3,1,80,2,38,2,4,38,3,13,0
22,No,Travel_Rarely,828,Sales,4,5,Medical,1,380,2,Female,47,4,2,Laboratory Technician,2.0,Married,11047.0,22039,3,Y,No,24,3,3,80,3,1,3,2,18,15,10,17
56,Yes,Non-Travel,298,Research & Development,4,3,Life Sciences,1,381,4,Male,86,4,5,Sales Executive,1.0,Single,9264.0,9273,7,Y,Yes,17,3,4,80,2,3,4,1,4,12,12,14
21,Yes,Travel_Rarely,1178,Research & Development,22,2,Life Sciences,1,382,1,Male,36,3,5,Sales Representative,3.0,Single,3708.0,16943,7,Y,No,13,3,3,80,0,23,3,2,12,10,6,13
23,No,Travel_Frequently,581,Sales,26,2,Medical,1,383,1,Male,77,1,1,Sales Executive,2.0,Divorced,12134.0,6538,0,Y,No,13,4,1,80,3,17,0,4,33,10,10,5
49,No,Travel_Rarely,1455,Research & Development,25,5,Life Sciences,1,384,3,Male,89,2,4,Manufacturing Director,3.0,Single,16410.0,5058,8,Y,Yes,22,3,2,80,3,10,3,2,23,4,8,17
47,No,Travel_Frequently,1376,Sales,3,5,Medical,1,385,3,Male,62,3,5,Sales Executive,3.0,Single,1381.0,11316,8,Y,Yes,17,4,2,80,1,36,2,2,17,0,1,7
52,No,Travel_Rarely,991,Research & Development,9,5,Medical,1,386,4,Male,32,3,5,Research Scientist,1.0,Single,15553.0,14905,1,Y,No,21,3,1,80,3,25,4,4,3,13,2,4
57,No,Travel_Frequently,1026,Sales,22,3,Technical Degree,1,387,2,Female,33,2,3,Sales Executive,2.0,Single,19907.0,12161,1,Y,Yes,20,3,4,80,1,7,6,2,35,18,3,7
33,No,Travel_Rarely,224,Research & Development,23,2,Medical,1,388,1,Male,33,2,4,Healthcare Representative,4.0,Married,18324.0,9318,7,Y,No,14,4,3,80,3,21,3,3,7,4,7,5
30,No,Travel_Rarely,1464,Research & Development,12,4,Medical,1,389,3,Female,71,4,4,Sales Representative,4.0,Married,2999.0,12566,5,Y,Yes,12,3,3,80,3,4,3,4,0,5,0,9
59,No,Travel_Rarely,879,Sales,10,3,Other,1,390,4,Male,38,2,4,Laboratory Technician,3.0,Married,10616.0,17220,2,Y,Yes,19,3,4,80,3,1,6,3,40,18,8,2
47,No,Travel_Rarely,449,Sales,2,1,Life Sciences,1,391,3,Male,80,2,2,Research Director,1.0,Single,7799.0,5195,1,Y,Yes,24,3,1,80,3,4,5,4,37,11,4,12
36,No,Travel_Rarely,130,Research & Development,11,5,Other,1,392,4,Male,46,2,1,Healthcare Representative,1.0,Married,9562.0,5991,4,Y,No,23,3,3,80,1,34,5,2,35,13,3,6
34,No,Travel_Rarely,1076,Human Resources,10,2,Other,1,393,3,Male,46,2,1,Healthcare Representative,1.0,Married,6392.0,5772,7,Y,Yes,19,3,3,80,0,31,0,3,37,16,12,3
36,Yes,Travel_Rarely,136,Sales,22,3,Medical,1,394,2,Male,49,4,3,Healthcare Representative,2.0,Single,16584.0,3937,5,Y,Yes,16,3,1,80,2,18,6,3,12,6,7,12
45,No,Travel_Rarely,724,Sales,6,1,Medical,1,395,1,Male,43,3,4,Research Director,2.0,Single,1724.0,20416,2,Y,No,24,3,3,80,3,38,6,1,21,0,13,5
43,No,Travel_Rarely,1419,Research & Development,18,3,Life Sciences,1,396,3,Male,51,1,4,Research Scientist,1.0,Single,10846.0,18052,8,Y,No,12,3,4,80,3,3,2,3,28,16,8,15
54,No,Travel_Rarely,690,Research & Development,2,3,Life Sciences,1,397,1,Male,81,1,5,Research Scientist,4.0,Married,18940.0,26922,7,Y,Yes,13,3,4,80,0,22,3,3,8,5,2,0
43,No,Non-Travel,1474,Research & Development,2,4,Life Sciences,1,398,4,Male,56,3,2,Research Director,4.0,Single,14959.0,26344,9,Y,No,15,4,1,80,1,18,2,2,26,3,13,12
40,No,Travel_Frequently,1272,Research & Development,10,4,Medical,1,399,2,Male,72,1,2,Human Resources,2.0,Married,9001.0,9177,5,Y,Yes,21,3,1,80,2,25,1,3,3,13,3,1
26,No,Non-Travel,1192,Sales,16,3,Medical,1,400,1,Female,32,1,3,Research Scientist,1.0,Single,18044.0,23850,0,Y,No,21,3,4,80,0,25,0,3,39,7,0,5
29,No,Travel_Rarely,1005,Research & Development,12,1,Medical,1,401,3,Male,37,3,1,Manufacturing Director,4.0,Single,2059.0,3560,1,Y,No,15,3,1,80,0,6,5,3,16,17,14,10
18,No,Travel_Frequently,621,Research & Development,1,2,Life Sciences,1,402,1,Male,39,1,4,Research Director,4.0,Single,14366.0,19213,3,Y,Yes,23,3,4,80,0,31,6,2,36,12,11,16
18,No,Travel_Frequently,223,Sales,21,2,Life Sciences,1,403,1,Male,58,1,3,Research Scientist,2.0,Married,5751.0,2433,1,Y,Yes,19,3,4,80,0,32,0,4,2,7,13,8
51,No,Travel_Rarely,441,Research & Development,8,5,Medical,1,404,4,Male,69,3,2,Manufacturing Director,2.0,Single,14378.0,13873,2,Y,No,20,3,4,80,3,25,0,2,3,15,2,4
49,No,Travel_Rarely,276,Research & Development,16,5,Medical,1,405,2,Male,94,1,2,Sales Executive,4.0,Married,6053.0,19854,7,Y,No,13,4,3,80,2,23,2,3,39,4,9,4
42,No,Travel_Rarely,698,Research & Development,18,2,Other,1,406,2,Female,50,2,2,Research Scientist,1.0,Married,11297.0,23197,8,Y,Yes,12,4,1,80,3,22,6,4,15,2,4,15
57,No,Travel_Frequently,552,Research & Development,13,3,Medical,1,407,1,Female,53,3,4,Sales Representative,4.0,Married,8270.0,19182,5,Y,Yes,20,3,3,80,0,37,5,2,10,12,14,3
18,Yes,Travel_Rarely,658,Sales,15,3,Life Sciences,1,408,1,Female,89,4,4,Sales Executive,4.0,Married,11855.0,5818,3,Y,No,18,3,1,80,2,25,5,2,26,14,12,12
33,No,Travel_Rarely,1261,Research & Development,21,4,Medical,1,409,4,Female,55,1,4,Sales Executive,1.0,Married,19073.0,10283,1,Y,No,17,3,2,80,0,30,3,4,25,3,7,16
56,No,Travel_Rarely,1141,Research & Development,12,4,Marketing,1,410,1,Male,38,4,5,Research Scientist,2.0,Married,10808.0,22896,6,Y,Yes,22,3,3,80,1,5,3,1,30,2,15,8
22,No,Non-Travel,1458,Sales,8,5,Medical,1,411,4,Male,49,1,1,Manufacturing Director,1.0,Divorced,4531.0,23737,9,Y,No,19,3,3,80,0,30,2,3,33,1,13,12
39,No,Travel_Frequently,1320,Research & Development,10,2,Other,1,412,2,Female,85,2,2,Sales Representative,1.0,Single,14699.0,12428,6,Y,Yes,13,3,3,80,0,39,2,1,7,3,0,15
46,No,Non-Travel,110,Research & Development,14,3,Other,1,413,2,Male,65,3,2,Manufacturing Director,1.0,Single,3066.0,2646,9,Y,Yes,16,3,2,80,1,11,1,3,38,5,0,9
20,Yes,Travel_Rarely,435,Human Resources,5,2,Medical,1,414,4,Male,65,4,5,Healthcare Representative,1.0,Married,3730.0,5585,8,Y,No,15,3,1,80,3,16,4,3,0,3,2,9
29,No,Travel_Rarely,1458,Research & Development,18,1,Medical,1,415,1,Female,51,3,2,Manufacturing Director,2.0,Married,5830.0,2883,4,Y,Yes,15,3,2,80,2,25,4,1,1,16,15,15
43,No,Travel_Rarely,1118,Research & Development,19,2,Other,1,416,2,Female,30,4,2,Manufacturing Director,4.0,Married,3572.0,3267,9,Y,No,20,3,1,80,0,2,0,1,26,6,8,0
33,No,Travel_Rarely,428,Research & Development,15,1,Medical,1,417,3,Male,98,1,4,Human Resources,3.0,Single,15568.0,2646,3,Y,No,18,3,1,80,0,14,3,3,2,17,8,10
54,No,Travel_Rarely,116,Human Resources,6,4,Life Sciences,1,418,4,Male,66,2,4,Manager,2.0,Married,14701.0,21900,9,Y,No,11,3,1,80,1,37,5,4,33,9,0,12
39,No,Travel_Rarely,940,Research & Development,27,4,Technical Degree,1,419,2,Female,42,4,1,Laboratory Technician,1.0,Divorced,16670.0,6305,5,Y,No,11,3,1,80,2,23,6,4,15,16,3,17
46,No,Travel_Rarely,327,Sales,11,5,Medical,1,420,2,Female,72,4,2,Manager,4.0,Married,1211.0,10917,1,Y,No,13,4,1,80,1,29,0,1,0,3,11,4
31,No,Travel_Rarely,214,Research & Development,21,2,Life Sciences,1,421,2,Female,66,2,3,Sales Representative,4.0,Divorced,1950.0,18747,1,Y,No,21,4,2,80,0,35,6,1,6,18,7,3
45,No,Non-Travel,102,Research & Development,11,2,Medical,1,422,3,Female,54,2,2,Sales Representative,1.0,Married,17981.0,2954,8,Y,No,12,3,3,80,3,26,5,2,34,6,1,5
22,Yes,Travel_Rarely,367,Research & Development,20,1,Life Sciences,1,423,3,Male,50,2,2,Research Director,2.0,Single,9771.0,2384,6,Y,No,12,3,2,80,3,21,3,4,21,12,15,14
47,No,Travel_Frequently,1333,Research & Development,20,4,Life Sciences,1,424,3,Male,70,2,1,Manufacturing Director,1.0,Married,10546.0,11743,6,Y,No,12,3,3,80,2,1,3,4,31,2,3,1
22,No,Travel_Rarely,1053,Research & Development,21,1,Life Sciences,1,425,1,Male,71,2,3,Sales Executive,4.0,Married,2651.0,16438,4,Y,Yes,14,3,3,80,0,6,1,3,25,7,15,3
29,No,Travel_Rarely,1494,Human Resources,18,4,Medical,1,426,4,Male,71,3,2,Manager,4.0,Married,2374.0,7964,6,Y,No,11,3,4,80,1,15,2,2,5,10,6,13
33,Yes,Travel_Rarely,407,Sales,25,1,Marketing,1,427,1,Female,31,1,3,Research Director,2.0,Married,8565.0,2723,8,Y,No,20,3,3,80,0,23,6,3,10,15,6,3
43,Yes,Travel_Rarely,113,Sales,18,4,Other,1,428,3,Female,97,1,4,Healthcare Representative,3.0,Married,1017.0,9101,9,Y,Yes,19,3,2,80,1,29,2,2,30,18,4,17
43,No,Travel_Rarely,1470,Research & Development,10,1,Other,1,429,4,Male,37,4,4,Laboratory Technician,1.0,Single,17924.0,18280,4,Y,No,24,3,4,80,1,0,2,4,20,8,6,15
38,No,Travel_Rarely,1493,Research & Development,2,4,Life Sciences,1,430,1,Male,90,2,3,Manufacturing Director,3.0,Single,2044.0,8037,8,Y,No,15,3,1,80,2,26,4,3,21,9,5,8
56,No,Travel_Rarely,1038,Sales,26,1,Life Sciences,1,431,1,Male,43,3,2,Research Director,4.0,Single,13772.0,18952,0,Y,No,15,3,1,80,1,8,2,2,0,5,1,7
53,No,Travel_Rarely,521,Sales,9,2,Life Sciences,1,432,1,Female,50,3,3,Manager,3.0,Divorced,19010.0,23110,2,Y,No,19,3,3,80,2,6,4,3,20,2,8,10
50,No,Travel_Rarely,990,Research & Development,14,5,Medical,1,433,3,Male,53,4,3,Healthcare Representative,1.0,Single,7731.0,6174,6,Y,Yes,24,3,1,80,3,4,5,2,19,7,4,13
47,No,Non-Travel,272,Research & Development,19,1,Marketing,1,434,2,Male,79,2,4,Human Resources,1.0,Divorced,18469.0,15066,3,Y,Yes,15,3,1,80,2,29,0,1,8,5,1,16
54,No,Travel_Frequently,235,Research & Development,10,5,Other,1,435,4,Male,74,1,3,Laboratory Technician,4.0,Single,5024.0,3854,1,Y,No,23,3,4,80,2,26,6,3,26,7,5,12
40,No,Travel_Frequently,1066,Research & Development,23,2,Medical,1,436,3,Male,93,2,5,Sales Representative,2.0,Single,8138.0,13368,2,Y,No,23,3,2,80,2,9,4,1,28,13,9,7
27,No,Travel_Rarely,1150,Sales,4,2,Marketing,1,437,4,Female,93,3,5,Human Resources,2.0,Single,3971.0,6802,6,Y,No,21,3,1,80,3,24,3,2,32,7,4,13
22,No,Travel_Frequently,1315,Research & Development,29,4,Life Sciences,1,438,3,Male,55,2,4,Manufacturing Director,4.0,Single,5849.0,25398,7,Y,Yes,24,3,1,80,2,17,1,3,0,10,1,10
53,No,Travel_Frequently,1266,Research & Development,29,5,Medical,1,439,1,Male,61,1,2,Laboratory Technician,1.0,Divorced,18305.0,14260,8,Y,No,18,3,2,80,1,6,6,2,2,9,12,8
51,No,Travel_Rarely,759,Research & Development,6,3,Medical,1,440,1,Male,86,1,2,Sales Executive,2.0,Married,16346.0,5492,5,Y,Yes,21,3,4,80,1,30,1,2,31,9,9,7
48,No,Non-Travel,1440,Sales,14,4,Medical,1,441,2,Male,82,4,4,Human Resources,3.0,Divorced,6708.0,17024,9,Y,No,11,3,4,80,2,31,3,1,19,10,9,13
27,No,Travel_Rarely,1444,Sales,4,5,Life Sciences,1,442,2,Female,62,3,2,Sales Executive,4.0,Divorced,6931.0,12609,8,Y,No,11,3,1,80,1,10,5,3,16,0,6,14
36,No,Non-Travel,1217,Sales,26,1,Medical,1,443,4,Male,81,2,1,Research Scientist,3.0,Married,15871.0,16799,3,Y,Yes,14,3,3,80,2,9,6,4,36,14,9,0
49,No,Non-Travel,280,Research & Development,15,1,Medical,1,444,2,Male,47,2,5,Human Resources,1.0,Married,14607.0,5655,4,Y,No,18,3,2,80,3,21,0,2,37,4,12,11
18,No,Travel_Rarely,1181,Research & Development,16,2,Life Sciences,1,445,2,Female,64,4,1,Healthcare Representative,2.0,Married,2907.0,22322,0,Y,No,13,3,4,80,1,30,1,1,9,13,1,4
22,Yes,Travel_Rarely,1280,Research & Development,7,3,Other,1,446,4,Male,41,4,1,Manufacturing Director,1.0,Married,3831.0,12701,8,Y,No,11,3,1,80,2,40,6,4,28,7,15,13
21,No,Non-Travel,212,Research & Development,17,1,Life Sciences,1,447,3,Female,80,4,1,Human Resources,3.0,Single,5493.0,22282,8,Y,No,21,3,4,80,0,13,3,1,31,16,6,15
33,Yes,Travel_Rarely,238,Research & Development,19,5,Marketing,1,448,2,Male,39,3,4,Human Resources,1.0,Married,14061.0,15112,8,Y,Yes,22,3,1,80,3,2,1,1,12,3,13,15
41,No,Travel_Rarely,333,Human Resources,29,5,Other,1,449,3,Male,81,2,1,Research Scientist,1.0,Married,19047.0,11910,2,Y,Yes,19,3,2,80,0,23,4,1,30,3,5,6
33,No,Non-Travel,1093,Sales,19,1,Medical,1,450,1,Female,63,4,3,Laboratory Technician,4.0,Single,17984.0,19986,9,Y,No,19,4,3,80,2,13,5,2,3,17,11,2
19,No,Travel_Rarely,569,Research & Development,17,5,Life Sciences,1,451,2,Female,96,3,2,Laboratory Technician,4.0,Married,2857.0,22588,9,Y,No,19,4,2,80,1,15,1,4,17,18,11,7
45,No,Travel_Rarely,833,Human Resources,6,5,Life Sciences,1,452,1,Male,68,2,4,Healthcare Representative,1.0,Divorced,14278.0,23331,9,Y,No,19,3,4,80,2,27,5,2,10,2,3,13
49,No,Travel_Rarely,582,Research & Development,29,2,Life Sciences,1,453,1,Male,37,1,3,Laboratory Technician,4.0,Married,4050.0,8925,7,Y,No,12,3,4,80,1,34,5,2,17,8,3,2
44,No,Travel_Rarely,1193,Research & Development,11,3,Life Sciences,1,454,3,Male,58,4,3,Manager,1.0,Married,17560.0,10289,2,Y,Yes,24,3,4,80,2,39,4,3,40,6,15,10
37,No,Travel_Rarely,915,Human Resources,16,2,Life Sciences,1,455,4,Male,51,3,5,Research Scientist,3.0,Single,5388.0,5541,5,Y,Yes,24,4,3,80,2,1,6,4,36,1,11,13
41,No,Travel_Rarely,1374,Research & Development,25,3,Medical,1,456,2,Male,99,2,5,Manager,4.0,Divorced,8670.0,15774,4,Y,No,21,3,2,80,1,33,5,3,32,8,5,1
29,No,Travel_Rarely,1095,Research & Development,8,5,Life Sciences,1,457,3,Female,90,2,3,Manager,1.0,Married,7976.0,7678,7,Y,No,21,3,1,80,1,17,4,1,36,5,8,3
52,No,Travel_Rarely,424,Research & Development,11,3,Other,1,458,4,Male,72,4,5,Research Scientist,4.0,Divorced,13208.0,5885,2,Y,No,21,3,2,80,2,6,1,4,2,5,9,4
50,No,Travel_Frequently,1023,Research & Development,7,5,Life Sciences,1,459,1,Male,78,4,2,Manager,1.0,Divorced,16683.0,23559,0,Y,No,14,3,2,80,0,37,1,4,0,15,5,9
50,Yes,Travel_Rarely,1005,Research & Development,26,5,Medical,1,460,2,Male,58,2,2,Manager,4.0,Divorced,,11446,8,Y,No,12,3,3,80,3,6,5,2,18,1,5,1
60,Yes,Travel_Rarely,707,Sales,24,2,Medical,1,461,1,Male,60,3,5,Manager,2.0,Single,19574.0,19311,9,Y,No,17,3,2,80,0,3,4,1,5,15,10,2
54,No,Travel_Rarely,530,Research & Development,22,2,Medical,1,462,1,Female,82,1,1,Healthcare Representative,,Married,1841.0,16792,8,Y,No,21,3,4,80,0,15,1,2,9,2,0,14
29,No,Travel_Rarely,1394,Research & Development,25,4,Human Resources,1,463,2,Male,63,2,3,Sales Representative,2.0,Divorced,15219.0,12284,2,Y,Yes,13,3,3,80,0,5,5,3,36,15,4,1
20,No,Travel_Rarely,249,Sales,19,1,Life Sciences,1,464,4,Male,67,3,2,Healthcare Representative,1.0,Divorced,18414.0,7429,1,Y,No,19,4,4,80,0,19,6,1,11,11,14,2
18,No,Travel_Rarely,1243,Sales,26,4,Other,1,465,4,Female,86,4,5,Sales Executive,2.0,Divorced,11194.0,23965,3,Y,No,17,3,4,80,1,30,0,2,16,2,0,11
50,No,Non-Travel,951,Sales,10,4,Other,1,466,2,Male,33,2,5,Human Resources,1.0,Married,4501.0,8354,7,Y,No,18,3,2,80,0,18,2,2,26,10,10,13
57,No,Travel_Rarely,468,Research & Development,9,3,Other,1,467,2,Male,31,4,2,Laboratory Technician,4.0,Married,12871.0,17699,5,Y,Yes,19,3,1,80,3,21,6,2,1,10,13,16
27,Yes,Travel_Rarely,951,Human Resources,4,5,Medical,1,468,3,Male,41,1,2,Research Scientist,2.0,Single,1297.0,20653,9,Y,Yes,18,3,2,80,1,20,6,1,24,15,8,15
60,No,Travel_Rarely,1191,Human Resources,23,5,Other,1,469,3,Female,64,4,1,Manager,4.0,Divorced,8825.0,11667,0,Y,Yes,17,3,1,80,0,17,2,3,27,4,9,16
46,No,Travel_Rarely,914,Research & Development,15,5,Other,1,470,1,Female,99,1,5,Research Director,1.0,Married,2085.0,22651,7,Y,Yes,19,3,3,80,1,31,3,4,36,7,3,8
30,No,Travel_Rarely,1495,Research & Development,13,1,Other,1,471,2,Male,50,4,5,Research Scientist,4.0,Single,16573.0,4882,4,Y,No,21,4,3,80,0,33,5,2,36,10,1,2
29,No,Travel_Rarely,276,Research & Development,25,3,Human Resources,1,472,4,Male,90,4,4,Manufacturing Director,1.0,Single,2380.0,25938,5,Y,No,11,3,3,80,0,26,2,1,16,10,8,13
48,No,Travel_Rarely,689,Research & Development,2,3,Marketing,1,473,1,Female,64,1,1,Research Scientist,4.0,Married,2083.0,13107,4,Y,No,21,3,4,80,3,37,0,4,4,17,5,2
19,No,Travel_Rarely,596,Research & Development,2,5,Life Sciences,1,474,1,Male,77,4,2,Human Resources,2.0,Married,5943.0,14463,9,Y,Yes,14,3,4,80,1,29,5,2,18,18,13,5
52,No,Travel_Rarely,1074,Sales,16,4,Life Sciences,1,475,1,Male,44,3,2,Research Scientist,1.0,Single,1048.0,8815,4,Y,Yes,14,3,3,80,1,32,2,1,3,9,10,12
40,No,Travel_Rarely,1239,Human Resources,9,1,Marketing,1,476,1,Female,44,4,3,Research Scientist,4.0,Single,5283.0,22669,2,Y,No,15,3,2,80,2,26,2,3,38,3,12,4
34,No,Travel_Rarely,1236,Research & Development,28,4,Human Resources,1,477,4,Male,35,2,2,Healthcare Representative,1.0,Single,17575.0,9406,3,Y,No,18,3,4,80,0,22,0,2,37,9,9,0
43,No,Travel_Rarely,1272,Research & Development,13,2,Life Sciences,1,478,1,Male,97,4,5,Healthcare Representative,1.0,Single,6505.0,26665,4,Y,Yes,20,3,4,80,0,18,4,1,29,13,2,11
25,No,Travel_Rarely,136,Research & Development,3,3,Life Sciences,1,479,2,Female,51,3,2,Sales Representative,1.0,Divorced,14001.0,17006,1,Y,No,11,3,2,80,3,30,2,2,31,5,12,14
46,No,Travel_Rarely,1100,Research & Development,9,3,Technical Degree,1,480,3,Male,61,2,5,Sales Executive,3.0,Married,3517.0,6710,5,Y,Yes,16,3,4,80,3,3,6,1,36,4,11,1
43,No,Travel_Rarely,1434,Sales,13,4,Medical,1,481,4,Male,51,3,5,Research Scientist,1.0,Married,13027.0,3089,1,Y,No,19,4,2,80,1,18,3,3,26,14,1,2
27,No,Travel_Rarely,639,Research & Development,21,1,Life Sciences,1,482,2,Male,56,2,1,Manager,4.0,Divorced,9081.0,2450,3,Y,No,20,3,1,80,3,37,6,3,31,4,5,6
43,No,Travel_Rarely,851,Sales,22,3,Medical,1,483,2,Male,44,4,2,Research Scientist,3.0,Married,14357.0,26855,0,Y,No,18,3,2,80,1,39,2,1,10,5,9,10
51,No,Travel_Rarely,1139,Research & Development,2,4,Technical Degree,1,484,2,Male,73,3,1,Manufacturing Director,4.0,Married,14919.0,3787,3,Y,No,12,3,1,80,0,21,2,4,40,18,5,9
58,Yes,Travel_Rarely,475,Research & Development,8,1,Medical,1,485,3,Male,38,4,5,Manager,3.0,Divorced,14961.0,4684,6,Y,No,17,4,4,80,0,8,0,3,12,16,13,7
24,No,Travel_Rarely,658,Research & Development,27,4,Medical,1,486,3,Female,63,2,2,Sales Representative,1.0,Married,17074.0,11628,7,Y,No,15,3,1,80,1,30,0,2,34,13,11,1
21,No,Travel_Rarely,334,Research & Development,9,1,Medical,1,487,3,Female,44,3,2,Healthcare Representative,2.0,Married,1327.0,10015,1,Y,No,12,3,2,80,3,9,5,3,16,10,11,13
28,No,Non-Travel,806,Research & Development,16,5,Life Sciences,1,488,2,Male,91,1,1,Research Director,2.0,Married,12827.0,3785,2,Y,No,21,3,1,80,3,9,3,2,29,13,8,12
46,No,Travel_Rarely,664,Research & Development,2,1,Medical,1,489,3,Female,74,3,1,Manager,1.0,Divorced,19796.0,11368,0,Y,Yes,11,3,3,80,1,29,1,3,17,4,4,6
53,No,Travel_Frequently,1040,Research & Development,6,2,Life Sciences,1,490,1,Female,87,4,5,Healthcare Representative,3.0,Single,14991.0,20535,6,Y,No,12,3,2,80,0,9,0,3,36,12,10,8
42,No,Travel_Rarely,988,Research & Development,22,5,Technical Degree,1,491,3,Female,48,1,5,Manufacturing Director,4.0,Single,11865.0,4998,3,Y,Yes,21,3,2,80,1,35,1,2,29,11,14,6
38,No,Travel_Rarely,827,Research & Development,8,4,Life Sciences,1,492,4,Male,45,1,2,Manager,2.0,Divorced,13525.0,13481,9,Y,No,20,3,1,80,3,17,3,3,25,18,14,0
53,Yes,Travel_Rarely,1400,Research & Development,26,5,Marketing,1,493,2,Female,37,2,2,Manager,1.0,Divorced,,22929,7,Y,No,16,3,4,80,1,18,2,2,15,9,11,0
27,No,Travel_Rarely,177,Sales,28,5,Life Sciences,1,494,2,Male,62,1,4,Manager,1.0,Married,2296.0,13703,4,Y,No,21,3,4,80,0,22,5,2,10,12,8,5
54,No,Travel_Rarely,540,Research & Development,5,4,Other,1,495,1,Male,47,1,4,Sales Executive,3.0,Married,5010.0,9031,8,Y,No,22,3,2,80,2,3,2,3,3,14,12,0
26,No,Non-Travel,800,Human Resources,9,4,Life Sciences,1,496,3,Male,64,2,3,Manager,2.0,Single,9761.0,20858,5,Y,Yes,18,3,2,80,1,11,6,3,40,12,15,15
41,No,Travel_Rarely,1414,Research & Development,1,2,Medical,1,497,3,Female,72,3,5,Sales Executive,1.0,Married,2384.0,10302,9,Y,Yes,13,3,1,80,2,23,5,2,14,3,4,2
52,No,Non-Travel,1016,Sales,9,4,Marketing,1,498,4,Male,79,4,3,Healthcare Representative,2.0,Divorced,15979.0,17877,1,Y,No,15,3,2,80,1,12,1,1,11,8,1,12
52,No,Travel_Rarely,992,Research & Development,10,3,Medical,1,499,1,Male,32,3,3,Sales Representative,4.0,Single,13087.0,10609,0,Y,No,21,3,2,80,3,3,6,3,26,18,0,3
53,Yes,Travel_Frequently,793,Sales,23,3,Other,1,500,4,Female,88,1,1,Sales Executive,1.0,Married,1033.0,4164,0,Y,No,12,3,4,80,3,26,3,4,3,6,8,16
35,No,Travel_Rarely,354,Sales,4,2,Life Sciences,1,501,4,Female,57,4,1,Sales Executive,1.0,Divorced,18547.0,19408,8,Y,Yes,22,3,2,80,2,37,3,3,34,14,9,9
56,No,Travel_Frequently,1251,Human Resources,3,1,Technical Degree,1,502,2,Female,75,3,4,Manager,4.0,Married,13666.0,14840,0,Y,No,18,3,1,80,1,38,0,1,20,16,6,3
49,No,Travel_Rarely,1302,Research & Development,10,1,Medical,1,503,2,Male,93,4,3,Sales Representative,1.0,Married,18852.0,15865,2,Y,Yes,14,3,2,80,3,7,1,1,35,13,2,11
